#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1909A            None                      None   14:02:02.600   +54:27:57.00 1909-01-26 00:00:00.000    Unclassified    12.1                   None          -99                                  NGC5457          -99
    AT    1940A            None                      None   15:16:11.100   +56:14:15.00 1940-02-16 00:00:00.000    Unclassified    14.3                   None          -99                                  NGC5907          -99
    AT    1940C            None                      None   15:06:55.000   +56:30:32.00 1940-05-04 00:00:00.000    Unclassified    16.3                   None          -99                                   IC1099          -99
    AT    1940D            None                      None   12:34:35.500   +63:31:49.00 1940-07-25 00:00:00.000    Unclassified    15.0                   None          -99                                  NGC4545          -99
    AT    1945A            None                      None   13:29:57.900   +47:16:16.00 1945-04-08 00:00:00.000    Unclassified    14.0                   None          -99                                  NGC5195          -99
    AT    1954C            None                      None   15:09:45.500   +57:00:03.00 1954-09-27 00:00:00.000    Unclassified    14.9                   None          -99                                  NGC5879          -99
    AT    1955E            None                      None   12:22:59.300   +58:26:35.00 1955-05-10 00:00:00.000    Unclassified    16.3                   None          -99                                  NGC4335          -99
    AT    1963O            None                      None   15:15:16.030   +55:30:52.88 1963-08-17 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC5905          -99
    AT    1968J            None                      None   14:05:53.100   +53:07:31.00 1968-05-16 00:00:00.000    Unclassified    16.6                   None          -99                               CGCG272-26          -99
    SN    1970G            None                      None   14:03:00.830   +54:14:32.78 1970-07-30 00:00:00.000            SNII    11.5                   None          -99                                  NGC5457          -99
    AT    1975G            None                      None   14:01:18.200   +54:25:31.00 1975-06-11 00:00:00.000    Unclassified    14.8                   None          -99                               CGCG272-18          -99
    AT    1980C            None                      None   13:45:24.500   +47:45:00.00 1980-02-22 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    SN    1982W            None                      None   14:07:09.050   +55:01:07.79 1982-12-14 00:00:00.000             SNI    15.0                   None          -99                                  NGC5485          -99
    SN    1988L            None                      None   14:06:21.900   +50:43:40.00 1988-04-30 00:00:00.000            SNIb    16.5                   None          -99                                  NGC5480          -99
    SN    1988N            None                      None   13:13:09.881   +57:20:39.70 1988-05-09 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN    1988R            None                      None   13:48:15.600   +54:48:09.00 1988-08-18 00:00:00.000            SNIa    15.5                   None          -99                               MCG09-23-9          -99
    SN   1991ae            None                      None   15:48:35.500   +68:06:03.00 1991-05-17 00:00:00.000           SNIIP    18.0                   None          -99                             MCG+11-19-18          -99
    SN    1991O            None                      None   14:24:40.001   +65:45:36.68 1991-03-18 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN   1992ac            None                      None   16:37:09.400   +58:10:01.00 1992-05-30 00:00:00.000            SNIa    17.0                   None         0.05                              MCG+10-24-7          -99
    SN    1992H            None                      None   13:56:22.200   +47:14:27.00 1992-02-11 00:00:00.000            SNII    15.0                   None          -99                                  NGC5377          -99
    SN    1992R            None                      None   16:37:09.400   +58:10:01.00 1992-04-08 00:00:00.000             SNI    18.0                   None         0.05                            MCG+10-24-007          -99
    SN    1994A            None                      None   13:07:41.100   +62:13:00.00 1994-01-11 00:00:00.000            SNII    18.0                   None          -99                                  UGC8214          -99
    SN    1994I            None                      None   13:29:54.010   +47:11:31.70 1994-04-02 00:00:00.000            SNIc    13.5                   None          -99                                  NGC5194          -99
    SN    1995J            None                      None   12:32:38.340   +63:53:09.20 1995-04-04 00:00:00.000            SNII    16.5                   None          -99                                  NGC4512          -99
    AT    1995O            None                      None   16:35:56.119   +66:11:44.02 1995-05-03 00:00:00.000    Unclassified    22.0                   None          -99                                    Anon.          -99
